CVE ID,Severity,CVSS,EPSS %,Risk Score,SSVC Priority,SSVC Notation,Title,Vendors,Published
CVE-2024-28000,CRITICAL,9.8,99.488,78,ATTEND,P/Y/T,WordPress LiteSpeed Cache plugin <= 6.3.0.1 - Unauthenticated Privilege Escalation vulnerability,"Litespeed Technologies, WordPress",2024-08-21
CVE-2024-28255,CRITICAL,9.8,99.888,78,ATTEND,P/Y/T,Authentication Bypass in OpenMetadata,Open-metadata,2024-03-15
CVE-2024-29973,CRITICAL,9.8,99.896,78,ATTEND,P/Y/T,"CVE-2024-29973: ** UNSUPPORTED WHEN ASSIGNED **
The command injection vulnerability in the “setCookie” parameter in ...",Zyxel,2024-06-04
CVE-2024-29895,CRITICAL,10.0,99.782,78,ATTEND,P/Y/T,Cacti command injection in cmd_realtime.php,"Cacti, Docker, Management",2024-05-13
CVE-2024-29972,CRITICAL,9.8,99.729,78,ATTEND,P/Y/T,"CVE-2024-29972: ** UNSUPPORTED WHEN ASSIGNED **
The command injection vulnerability in the CGI program ""remote_help-...",Zyxel,2024-06-04
CVE-2024-20419,CRITICAL,10.0,99.635,78,ATTEND,P/Y/T,CVE-2024-20419: A vulnerability in the authentication system of Cisco Smart Software Manager On-Prem (SSM On-Prem) c...,Cisco,2024-07-17
CVE-2025-27520,CRITICAL,9.8,98.968,77,ATTEND,P/Y/T,BentoML Allows Remote Code Execution (RCE) via Insecure Deserialization,"Bentoml, The",2025-04-04
CVE-2024-4883,CRITICAL,9.8,99.326,77,ATTEND,P/Y/T,WhatsUp Gold WriteDataFile Directory Traversal Remote Code Execution Vulnerability,Progress Software Corporation,2024-06-25
CVE-2024-46506,CRITICAL,10.0,99.171,77,ATTEND,P/Y/T,CVE-2024-46506: NetAlertX 23.01.14 through 24.x before 24.10.12 allows unauthenticated command injection via setting...,Netalertx,2025-05-13
CVE-2024-5276,CRITICAL,9.8,99.289,77,ATTEND,P/Y/T,SQL Injection Vulnerability in FileCatalyst Workflow 5.1.6 Build 135 (and earlier),"Application, Fortra",2024-06-25
CVE-2024-39907,CRITICAL,9.8,99.325,77,ATTEND,P/Y/T,a sqlinjection in 1Panel ,"1panel-dev, Linux",2024-07-18
CVE-2024-39943,CRITICAL,9.9,98.976,77,ATTEND,P/Y/T,"CVE-2024-39943: rejetto HFS (aka HTTP File Server) 3 before 0.52.10 on Linux, UNIX, and macOS allows OS command exec...","Apple, File, N/a",2024-07-04
CVE-2024-23108,CRITICAL,9.7,99.46,77,ATTEND,P/Y/T,CVE-2024-23108: An improper neutralization of special elements used in an os command ('os command injection') in For...,Fortinet,2024-02-05
CVE-2024-48914,CRITICAL,9.1,99.614,77,ATTEND,P/Y/T,Vendure asset server plugin has local file read vulnerability with AssetServerPlugin & LocalAssetStorageStrategy,"Asset, The, Vendure-ecommerce",2024-10-15
CVE-2024-50477,CRITICAL,9.8,99.032,77,ATTEND,P/Y/T,WordPress Stacks Mobile App Builder plugin <= 5.2.3 - Account Takeover vulnerability,"Stacks, WordPress",2024-10-28
CVE-2024-25153,CRITICAL,9.8,99.08,77,ATTEND,P/Y/T,Remote Code Execution in FileCatalyst Workflow 5.x prior to 5.1.6 Build 114,Fortra,2024-03-13
